login_id,customer_id,login_timestamp,ip_address,device_type,status
LOG-0000001,CUST-00285,2026-03-02T23:08:24.239646+00:00,98.150.227.141,Tablet,Failed
LOG-0000002,CUST-00908,2025-07-12T08:55:54.006232+00:00,5.235.226.131,Tablet,Success
LOG-0000003,CUST-00447,2026-03-25T06:52:51.574907+00:00,218.241.55.30,Web Browser,Success
LOG-0000004,CUST-00745,2026-01-06T09:41:38.195794+00:00,175.49.170.197,Web Browser,Success
LOG-0000005,CUST-00191,2025-08-18T00:51:01.143484+00:00,31.161.220.187,Mobile App,Success
LOG-0000006,CUST-00381,2026-02-17T11:50:43.624477+00:00,166.5.184.107,Web Browser,Success
LOG-0000007,CUST-00836,2025-10-05T05:57:29.064474+00:00,183.162.205.245,Mobile App,Success
LOG-0000008,CUST-00308,2025-12-08T16:13:12.733459+00:00,203.165.160.90,Tablet,Success
LOG-0000009,CUST-00399,2025-12-02T04:36:18.674439+00:00,161.93.23.140,Web Browser,Success
LOG-0000010,CUST-00187,2026-03-08T01:04:22.602465+00:00,7.105.61.238,Web Browser,Success
LOG-0000011,CUST-00626,2025-05-10T04:45:55.325678+00:00,62.74.185.144,Web Browser,Success
LOG-0000012,CUST-00478,2025-08-22T21:44:47.342306+00:00,172.187.120.228,Web Browser,Success
LOG-0000013,CUST-00552,2026-01-27T09:37:18.002647+00:00,97.206.182.82,Web Browser,Success
LOG-0000014,CUST-00501,2025-05-14T01:25:14.197698+00:00,194.112.57.42,Web Browser,Success
LOG-0000015,CUST-00905,2025-12-14T18:16:31.861921+00:00,116.251.3.132,Mobile App,Success
LOG-0000016,CUST-00292,2025-06-17T14:46:14.975398+00:00,198.252.120.37,Tablet,Success
LOG-0000017,CUST-00944,2025-06-23T20:11:00.153202+00:00,164.139.37.131,Web Browser,Success
LOG-0000018,CUST-00808,2025-10-09T09:22:48.868100+00:00,132.66.11.206,Web Browser,Success
LOG-0000019,CUST-00171,2025-07-28T02:43:18.241815+00:00,62.176.166.251,Web Browser,Failed
LOG-0000020,CUST-00265,2026-02-22T17:32:26.749382+00:00,15.27.129.179,Web Browser,Success
LOG-0000021,CUST-00572,2025-11-16T23:04:24.898200+00:00,174.170.227.37,Web Browser,Success
LOG-0000022,CUST-00271,2025-04-11T18:19:18.637638+00:00,140.231.226.240,Web Browser,Failed
LOG-0000023,CUST-00703,2025-05-31T14:10:59.382044+00:00,79.141.122.156,Mobile App,Success
LOG-0000024,CUST-00391,2026-02-21T05:17:21.705204+00:00,147.74.70.195,Web Browser,Success
LOG-0000025,CUST-00342,2026-03-22T23:27:57.512912+00:00,74.161.136.195,Web Browser,Success
LOG-0000026,CUST-00892,2025-05-12T14:03:41.743853+00:00,132.56.166.88,Tablet,Success
LOG-0000027,CUST-00029,2025-06-10T17:41:25.665719+00:00,47.72.49.66,Web Browser,Failed
LOG-0000028,CUST-00497,2025-04-25T22:31:16.510572+00:00,59.54.24.149,Tablet,Success
LOG-0000029,CUST-00919,2025-05-16T06:54:59.134828+00:00,172.236.101.174,Web Browser,Success
LOG-0000030,CUST-00256,2025-12-07T10:30:29.946943+00:00,119.86.106.252,Tablet,Failed
LOG-0000031,CUST-00296,2025-09-17T08:35:29.314811+00:00,64.228.187.215,Web Browser,Failed
LOG-0000032,CUST-00227,2025-12-09T09:29:36.584421+00:00,17.132.65.35,Web Browser,Success
LOG-0000033,CUST-00841,2025-11-10T09:15:13.358914+00:00,88.34.153.46,Mobile App,Success
LOG-0000034,CUST-00141,2026-03-11T10:30:01.335478+00:00,79.115.91.242,Tablet,Success
LOG-0000035,CUST-00767,2025-09-10T20:23:26.963881+00:00,47.9.250.45,Tablet,Success
LOG-0000036,CUST-00234,2026-03-21T05:08:25.190034+00:00,2.153.105.40,Mobile App,Success
