ticket_id,customer_id,product_id,issue_type,status,priority,created_at,resolved_at
TKT-000001,CUST-00611,PROD-009,Account Inquiry,Closed,Critical,2026-01-05T21:55:49.596452+00:00,2026-01-18T21:55:49.596452+00:00
TKT-000002,CUST-00682,PROD-001,Account Inquiry,Resolved,Low,2025-09-15T11:05:42.834301+00:00,2025-09-22T11:05:42.834301+00:00
TKT-000003,CUST-00002,PROD-010,Card Replacement,Resolved,Low,2025-07-15T15:54:51.609661+00:00,2025-07-17T15:54:51.609661+00:00
TKT-000004,CUST-00282,PROD-009,Login Issue,Resolved,High,2025-09-24T07:44:11.896358+00:00,2025-09-26T07:44:11.896358+00:00
TKT-000005,CUST-00157,PROD-002,Card Replacement,Resolved,Critical,2025-07-26T05:25:14.439225+00:00,2025-08-02T05:25:14.439225+00:00
TKT-000006,CUST-00491,PROD-004,Card Replacement,Open,Critical,2025-07-18T00:14:00.067310+00:00,
TKT-000007,CUST-00160,PROD-001,Card Replacement,Resolved,Low,2025-11-10T13:02:23.908038+00:00,2025-11-23T13:02:23.908038+00:00
TKT-000008,CUST-00455,PROD-009,Transaction Dispute,Closed,Medium,2026-03-12T11:09:42.472757+00:00,2026-03-17T11:09:42.472757+00:00
TKT-000009,CUST-00450,PROD-005,Account Inquiry,Closed,Medium,2025-08-26T18:57:30.491539+00:00,2025-08-30T18:57:30.491539+00:00
TKT-000010,CUST-00813,PROD-004,Fee Dispute,In Progress,High,2025-08-28T21:54:10.633182+00:00,
TKT-000011,CUST-00941,PROD-003,Transaction Dispute,Open,Low,2025-10-18T15:55:35.480907+00:00,
TKT-000012,CUST-00079,PROD-010,Card Replacement,Closed,Medium,2025-07-01T14:51:04.122047+00:00,2025-07-03T14:51:04.122047+00:00
TKT-000013,CUST-00185,PROD-007,Card Replacement,Closed,Critical,2025-04-28T05:28:58.516919+00:00,2025-05-04T05:28:58.516919+00:00
TKT-000014,CUST-00073,PROD-004,Fee Dispute,In Progress,High,2025-10-03T11:44:44.090529+00:00,
TKT-000015,CUST-00227,PROD-010,Fee Dispute,In Progress,Low,2025-09-25T00:10:28.246497+00:00,
TKT-000016,CUST-00159,PROD-010,Transaction Dispute,Resolved,High,2025-07-12T17:22:51.616954+00:00,2025-07-14T17:22:51.616954+00:00
TKT-000017,CUST-00537,PROD-005,Account Inquiry,Closed,Medium,2025-11-04T01:39:38.130427+00:00,2025-11-05T01:39:38.130427+00:00
TKT-000018,CUST-00354,PROD-007,Account Inquiry,Closed,Critical,2026-01-26T15:27:38.021769+00:00,2026-02-01T15:27:38.021769+00:00
TKT-000019,CUST-00732,PROD-002,Transaction Dispute,Resolved,Low,2026-01-19T07:50:13.104694+00:00,2026-01-22T07:50:13.104694+00:00
TKT-000020,CUST-00493,PROD-004,Card Replacement,Closed,Critical,2026-01-17T03:37:48.251982+00:00,2026-01-25T03:37:48.251982+00:00
TKT-000021,CUST-00096,PROD-009,Login Issue,Resolved,Medium,2026-01-30T04:13:27.581327+00:00,2026-02-13T04:13:27.581327+00:00
TKT-000022,CUST-00156,PROD-003,Fee Dispute,Closed,Critical,2025-04-24T21:08:34.605500+00:00,2025-04-27T21:08:34.605500+00:00
TKT-000023,CUST-00906,PROD-010,Login Issue,Resolved,Critical,2025-10-22T20:30:58.049292+00:00,2025-10-27T20:30:58.049292+00:00
TKT-000024,CUST-00248,PROD-003,Login Issue,Resolved,Medium,2025-11-02T04:28:23.889858+00:00,2025-11-13T04:28:23.889858+00:00
TKT-000025,CUST-00839,PROD-001,Transaction Dispute,Closed,High,2025-07-17T00:01:28.219525+00:00,2025-07-24T00:01:28.219525+00:00
TKT-000026,CUST-00514,PROD-008,Account Inquiry,Closed,Critical,2025-09-28T01:14:50.511599+00:00,2025-10-06T01:14:50.511599+00:00
TKT-000027,CUST-00735,PROD-002,Account Inquiry,Closed,Medium,2025-04-29T11:45:39.334060+00:00,2025-05-06T11:45:39.334060+00:00
TKT-000028,CUST-00265,PROD-003,Login Issue,Open,Medium,2025-07-30T15:37:54.328382+00:00,
TKT-000029,CUST-00155,PROD-010,Account Inquiry,Closed,Low,2025-12-21T15:43:34.110597+00:00,2025-12-25T15:43:34.110597+00:00
TKT-000030,CUST-00335,PROD-008,Account Inquiry,Closed,High,2025-12-26T16:18:12.182078+00:00,2025-12-28T16:18:12.182078+00:00
TKT-000031,CUST-00956,PROD-002,Login Issue,Closed,Critical,2025-10-30T08:33:09.605029+00:00,2025-11-03T08:33:09.605029+00:00
